txn_id,customer_id,txn_date,txn_type,txn_amount,product,channel,status
17914,1623,2020-10-04,Payment,131450.87,FD,Mobile,Success
15927,1622,2020-03-31,Deposit,131151.83,Credit Card,Netbanking,Success
16569,1136,2021-05-07,Deposit,39564.47,Savings,Branch,Success
28921,1340,2024-07-10,Deposit,144480.72,Credit Card,Mobile,Success
17901,1160,2023-11-06,Deposit,143826.47,Savings,Mobile,Pending
24643,1510,2022-12-01,Withdrawal,23872.0,FD,ATM,Success
27240,1378,2021-02-24,Transfer,98385.3,Savings,Netbanking,Success
20041,1024,2020-10-01,Withdrawal,132404.24,Credit Card,Branch,Success
11302,1719,2021-11-10,Deposit,110015.93,FD,Mobile,Pending
11091,1210,2024-01-22,Deposit,44995.54,Savings,Mobile,Success
19539,1427,2023-11-29,Transfer,110754.23,Credit Card,Netbanking,Success
26265,1977,2023-04-02,Deposit,95836.05,Loan,Mobile,Success
13227,1533,2022-10-05,Payment,97879.14,Loan,Branch,Failed
9972,1027,2023-01-17,Withdrawal,100003.43,FD,Mobile,Success
18234,1522,2021-11-29,Deposit,52221.51,Loan,Netbanking,Pending
16473,1440,2021-08-05,Deposit,197495.43,Loan,Mobile,Failed
21797,1833,2022-03-25,Transfer,95575.81,Savings,Branch,Success
27906,1957,2023-03-10,Deposit,168591.31,FD,Netbanking,Pending
13937,1387,2021-09-29,Transfer,70044.49,Credit Card,Mobile,Success
11546,1783,2022-05-20,Transfer,100495.82,Savings,Netbanking,Success
13910,1354,2023-04-07,Transfer,12646.62,Credit Card,ATM,Success
21984,1747,2020-06-07,Payment,78296.06,Credit Card,ATM,Success
21623,1297,2021-08-02,Payment,160462.55,Loan,ATM,Success
23668,1688,2023-08-02,Transfer,26745.87,FD,Branch,Success
20918,1787,2023-09-06,Transfer,198112.43,Credit Card,Mobile,Failed
27498,1003,2021-06-22,Transfer,151775.35,Credit Card,ATM,Success
18933,1375,2021-08-13,Withdrawal,63044.23,FD,Netbanking,Success
28117,1460,2021-12-07,Transfer,57465.57,Credit Card,ATM,Success
19573,1442,2022-02-05,Withdrawal,89000.75,FD,Netbanking,Success
18620,1638,2024-08-25,Payment,107504.29,Savings,Netbanking,Pending
15166,1059,2022-02-20,Withdrawal,188259.48,Credit Card,Netbanking,Failed
26134,1247,2024-01-18,Payment,182984.36,Loan,Mobile,Success
24544,1014,2020-01-23,Deposit,183712.37,Loan,Netbanking,Success
20393,1184,2024-12-15,Payment,182193.92,Loan,Branch,Pending
17215,1244,2024-07-30,Deposit,84762.48,Credit Card,Netbanking,Success
23416,1442,2021-07-10,Payment,12708.42,Credit Card,Netbanking,Success
17479,1186,2020-08-14,Transfer,117289.66,Credit Card,Mobile,Success
25299,1966,2024-04-17,Withdrawal,175624.93,Savings,Mobile,Success
25549,1082,2021-12-08,Withdrawal,160469.18,Loan,Mobile,Failed
14554,1717,2022-09-30,Transfer,36389.69,Savings,Branch,Pending
24093,1476,2020-12-04,Transfer,43770.71,Loan,Mobile,Pending
9475,1957,2021-08-28,Withdrawal,14098.29,Credit Card,Branch,Success
24077,1669,2020-08-10,Withdrawal,118174.92,Loan,Netbanking,Pending
27083,1497,2022-01-27,Transfer,183883.64,Savings,Branch,Success
28280,1800,2023-06-21,Deposit,106645.84,Credit Card,Netbanking,Success
24785,1759,2022-05-25,Transfer,96108.78,Loan,Branch,Success
25448,1627,2024-12-02,Payment,95443.61,FD,Mobile,Success
23050,1073,2021-11-20,Payment,194897.55,Savings,Branch,Success
17878,1510,2022-11-18,Transfer,42168.34,Credit Card,ATM,Success
28449,1743,2020-01-22,Withdrawal,154370.4,FD,Branch,Pending
28652,1028,2023-05-28,Payment,137964.25,Loan,Netbanking,Success
20252,1218,2022-01-10,Payment,95731.66,Credit Card,Mobile,Success
23144,1369,2021-05-22,Deposit,89275.5,Credit Card,Branch,Success
13198,1443,2024-09-20,Payment,6183.84,Savings,Mobile,Pending
27629,1382,2022-01-10,Deposit,114320.32,FD,Netbanking,Pending
16923,1427,2023-04-16,Transfer,80445.17,Savings,ATM,Success
20982,1090,2022-09-02,Payment,174787.41,Savings,Mobile,Success
12895,1641,2020-06-05,Withdrawal,108949.47,Savings,Netbanking,Failed
10982,1069,2024-10-17,Deposit,106548.74,Credit Card,Netbanking,Pending
13931,1823,2023-10-19,Withdrawal,12700.49,Credit Card,Branch,Success
12785,1832,2023-05-26,Payment,73092.92,Credit Card,Netbanking,Failed
19633,1996,2023-10-13,Deposit,151848.06,FD,Mobile,Success
27620,1141,2021-12-25,Withdrawal,86617.13,Credit Card,Netbanking,Success
21684,1437,2023-07-11,Payment,125685.7,FD,ATM,Failed
10740,1642,2022-02-10,Transfer,109410.05,Loan,Netbanking,Pending
19258,1205,2024-04-09,Payment,22773.71,FD,Mobile,Success
11236,1850,2021-05-29,Deposit,46893.36,Savings,Mobile,Failed
22036,1994,2020-04-01,Withdrawal,85151.74,Credit Card,ATM,Failed
13129,1167,2024-03-18,Transfer,3945.88,Savings,Netbanking,Success
26621,1510,2021-11-06,Withdrawal,510.54,Savings,Netbanking,Success
12687,1310,2022-03-31,Withdrawal,164012.25,FD,Mobile,Success
9352,1132,2024-02-02,Payment,15334.75,Credit Card,Branch,Success
21367,1952,2020-04-29,Deposit,79993.73,Loan,Branch,Success
13116,1084,2021-01-16,Withdrawal,23600.57,Credit Card,Mobile,Success
21177,1164,2023-09-21,Transfer,194801.26,Loan,Mobile,Pending
19019,1888,2021-02-17,Payment,29481.05,Savings,Mobile,Success
16886,1721,2024-06-29,Transfer,153577.61,Loan,Branch,Pending
14212,1026,2020-03-12,Payment,129807.35,Credit Card,Branch,Success
12509,1491,2024-05-16,Transfer,49459.08,Savings,Mobile,Success
16139,1477,2022-10-25,Withdrawal,127304.63,Loan,Netbanking,Success
16361,1609,2024-11-24,Withdrawal,108950.86,FD,Branch,Success
26027,1674,2024-11-05,Withdrawal,20745.99,Savings,Branch,Pending
15665,1754,2024-12-12,Deposit,24383.51,Credit Card,Branch,Failed
11555,1990,2022-07-18,Payment,35795.68,Credit Card,Netbanking,Failed
10203,1519,2024-10-26,Withdrawal,119959.11,Loan,ATM,Success
11320,1301,2022-08-27,Payment,166058.93,Loan,Mobile,Pending
21402,1557,2020-12-05,Transfer,103066.38,Credit Card,ATM,Success
23700,1226,2022-08-27,Transfer,177105.53,Credit Card,Branch,Success
19385,1557,2023-08-24,Withdrawal,92847.5,FD,Branch,Success
26612,1908,2022-07-24,Withdrawal,132691.51,FD,Netbanking,Success
28378,1445,2024-11-01,Withdrawal,73452.13,Savings,Branch,Success
17815,1026,2022-02-18,Payment,13507.57,Savings,Mobile,Success
11784,1301,2020-02-25,Withdrawal,42652.11,Credit Card,Mobile,Success
23547,1920,2023-02-16,Withdrawal,181343.95,Savings,Branch,Success
21026,1101,2020-08-01,Deposit,125445.9,FD,Netbanking,Success
26672,1499,2023-03-06,Transfer,31649.39,FD,ATM,Success
9994,1600,2022-10-10,Withdrawal,118421.35,Credit Card,Mobile,Pending
23932,1613,2023-07-31,Withdrawal,172043.8,Loan,Netbanking,Failed
20027,1130,2024-05-03,Payment,7149.79,FD,Branch,Failed
14223,1787,2024-06-07,Transfer,110983.76,Savings,ATM,Success
28186,1320,2020-09-23,Transfer,185208.12,FD,ATM,Failed
16503,1101,2023-01-27,Deposit,33509.85,Credit Card,Netbanking,Success
28963,1503,2022-11-10,Transfer,104217.51,FD,Branch,Failed
19649,1372,2024-05-07,Payment,123383.51,Credit Card,Mobile,Success
17342,1516,2023-08-18,Payment,22202.79,FD,Netbanking,Success
12166,1774,2023-10-15,Payment,150141.67,FD,ATM,Failed
24646,1059,2023-01-30,Withdrawal,130173.94,Savings,Mobile,Success
26850,1360,2022-08-08,Transfer,87779.78,Credit Card,Netbanking,Success
23321,1246,2024-06-25,Transfer,87735.49,Credit Card,Mobile,Success
12580,1099,2024-08-04,Deposit,97751.0,Savings,Branch,Success
10148,1650,2022-09-02,Transfer,111221.65,Credit Card,ATM,Success
25021,1925,2024-01-31,Payment,146745.5,FD,Netbanking,Failed
11468,1712,2020-04-05,Payment,193035.56,Loan,Netbanking,Success
14484,1505,2022-01-09,Deposit,3215.39,FD,Netbanking,Success
10444,1818,2024-04-29,Deposit,39655.8,Credit Card,Netbanking,Failed
19303,1186,2023-10-14,Payment,6551.84,Credit Card,ATM,Success
28160,1479,2024-09-09,Payment,173255.14,Loan,Branch,Success
25287,1754,2023-10-05,Withdrawal,63029.35,Credit Card,Mobile,Failed
12129,1305,2022-01-20,Deposit,171874.69,Loan,ATM,Pending
19597,1244,2021-10-25,Transfer,74308.83,Savings,Mobile,Pending
25034,1951,2021-05-18,Payment,140011.96,Credit Card,ATM,Success
19761,1267,2024-04-05,Withdrawal,65948.61,Savings,Branch,Pending
18986,1538,2022-02-27,Payment,122283.06,Loan,Branch,Pending
24920,1166,2021-04-27,Transfer,123865.13,Loan,Netbanking,Failed
27914,1685,2021-12-26,Deposit,97414.14,Savings,ATM,Success
24927,1535,2020-08-23,Deposit,195213.93,Credit Card,Branch,Failed
11865,1688,2020-07-15,Payment,167548.02,Savings,ATM,Failed
16168,1365,2022-12-26,Transfer,131499.75,Credit Card,ATM,Failed
28889,1167,2020-04-28,Transfer,126446.56,FD,Netbanking,Success
16016,1849,2023-03-23,Withdrawal,23696.15,Loan,Branch,Success
27728,1072,2021-07-31,Deposit,174906.89,Savings,Netbanking,Success
25105,1295,2022-09-20,Payment,124221.9,Loan,ATM,Success
14806,1110,2020-09-16,Payment,147123.09,FD,Mobile,Success
19570,1826,2022-11-11,Deposit,157043.24,Savings,ATM,Success
16862,1273,2024-06-12,Payment,133192.93,Savings,Netbanking,Failed
19251,1862,2021-08-08,Withdrawal,179521.41,Loan,Mobile,Pending
9813,1342,2024-06-02,Deposit,194079.86,Credit Card,ATM,Success
11827,1182,2022-02-24,Payment,74499.8,Credit Card,Mobile,Success
22723,1485,2023-05-20,Transfer,101121.18,FD,Branch,Pending
25848,1579,2022-06-22,Transfer,163275.97,Credit Card,Branch,Success
27511,1300,2021-07-21,Transfer,198468.46,FD,Netbanking,Success
24691,1578,2021-10-17,Withdrawal,122632.07,Credit Card,ATM,Success
26971,1678,2020-08-08,Transfer,61272.84,Credit Card,Mobile,Failed
24703,1213,2022-06-27,Withdrawal,79218.01,Credit Card,Branch,Success
18702,1700,2024-12-20,Deposit,13814.56,Savings,ATM,Pending
21161,1728,2023-12-11,Deposit,113462.17,Loan,ATM,Success
12354,1221,2023-08-02,Deposit,164104.66,Credit Card,ATM,Success
20551,1571,2024-06-16,Payment,117200.86,Savings,ATM,Success
15837,1004,2022-07-17,Withdrawal,39065.05,Savings,Mobile,Failed
25961,1485,2024-12-08,Deposit,22829.25,Loan,Branch,Success
17238,1389,2021-07-27,Payment,139098.12,Loan,ATM,Failed
26283,1571,2024-11-19,Payment,52847.95,Loan,ATM,Success
10283,1173,2021-03-24,Withdrawal,169257.56,FD,Branch,Success
26951,1651,2024-12-13,Withdrawal,174842.88,Savings,Mobile,Success
15400,1680,2020-05-12,Withdrawal,198569.23,Savings,Branch,Success
26414,1548,2024-05-20,Withdrawal,176041.46,Credit Card,Mobile,Pending
18925,1823,2020-12-28,Transfer,124770.31,Savings,Netbanking,Failed
10403,1763,2020-04-05,Deposit,136971.6,Loan,ATM,Success
15867,1813,2023-11-22,Withdrawal,76819.37,Savings,ATM,Success
25290,1028,2020-08-10,Payment,35385.38,Credit Card,Netbanking,Success
12395,1635,2023-01-13,Withdrawal,104242.69,Loan,Branch,Pending
21400,1106,2021-04-06,Transfer,120195.98,FD,Branch,Success
28366,1356,2022-05-16,Deposit,174608.59,FD,ATM,Success
18151,1053,2023-05-28,Withdrawal,175692.82,Credit Card,Netbanking,Failed
28769,1674,2023-09-12,Payment,134583.69,FD,ATM,Success
26239,1366,2024-10-29,Deposit,102966.22,Credit Card,Netbanking,Success
27281,1200,2023-04-17,Transfer,164611.58,FD,Branch,Pending
25619,1006,2022-09-04,Transfer,77715.82,FD,ATM,Success
14490,1008,2024-10-05,Payment,33693.03,Loan,Netbanking,Success
13038,1020,2020-10-30,Payment,72436.86,Loan,ATM,Failed
13308,1873,2020-09-26,Transfer,173680.64,Savings,Branch,Success
9386,1732,2020-09-17,Transfer,150342.44,FD,Netbanking,Success
25571,1848,2024-12-06,Transfer,160567.22,FD,Branch,Success
9219,1802,2022-04-07,Payment,164461.33,Savings,Netbanking,Pending
15422,1950,2024-01-23,Transfer,160651.9,Loan,Mobile,Success
25395,1145,2022-04-18,Transfer,92456.66,FD,Branch,Failed
9804,1530,2023-09-10,Withdrawal,95304.36,FD,Branch,Success
21835,1007,2022-10-20,Deposit,96759.31,FD,Mobile,Failed
28327,1997,2023-05-23,Withdrawal,158891.25,Savings,Netbanking,Success
15253,1376,2020-10-03,Deposit,108969.75,Savings,ATM,Success
28833,1759,2023-03-01,Deposit,160800.77,FD,Netbanking,Success
19572,1552,2024-01-27,Payment,77771.76,Credit Card,Mobile,Failed
9719,1444,2020-07-24,Transfer,38484.54,Savings,Mobile,Success
22343,1191,2024-10-12,Payment,10900.52,Loan,Branch,Success
19706,1637,2020-02-19,Deposit,32276.55,FD,Mobile,Success
19037,1100,2020-04-22,Withdrawal,19851.54,Loan,Mobile,Failed
18148,1553,2023-11-25,Withdrawal,65924.61,Loan,Netbanking,Success
28744,1125,2021-03-09,Withdrawal,31670.2,FD,Mobile,Pending
20548,1742,2020-08-20,Withdrawal,24532.1,FD,Netbanking,Success
28248,1988,2024-10-04,Transfer,87111.81,Savings,ATM,Success
15952,1598,2022-01-03,Transfer,135558.19,FD,Mobile,Success
14217,1505,2022-05-16,Withdrawal,22843.7,Credit Card,Netbanking,Success
21277,1176,2022-03-21,Transfer,70543.69,FD,Mobile,Failed
21370,1616,2022-08-03,Deposit,192914.99,Savings,Mobile,Failed
28523,1926,2020-06-11,Payment,187319.48,Savings,ATM,Success
22720,1097,2022-08-29,Payment,129834.92,Savings,Netbanking,Success
26147,1662,2023-01-24,Payment,196185.04,FD,ATM,Success
18843,1670,2023-11-22,Deposit,85005.01,Savings,ATM,Success
11731,1322,2021-10-04,Withdrawal,118873.01,Savings,Mobile,Success
26446,1217,2022-05-04,Transfer,142544.22,Credit Card,Netbanking,Success
27647,1889,2020-05-10,Payment,149842.87,Savings,Branch,Success
10273,1757,2024-12-23,Payment,170191.98,FD,Mobile,Failed
16835,1421,2022-04-11,Withdrawal,5189.53,Loan,Netbanking,Success
11974,1023,2023-06-11,Payment,117069.2,Loan,Branch,Pending
19616,1509,2023-09-02,Withdrawal,2885.45,Savings,Mobile,Success
28450,1227,2024-06-27,Withdrawal,194712.6,Credit Card,ATM,Success
11831,1900,2022-06-23,Transfer,184798.89,FD,Netbanking,Pending
14565,1286,2022-12-11,Transfer,142437.46,Savings,ATM,Success
10969,1295,2022-01-14,Payment,138392.38,Loan,Branch,Success
20504,1393,2022-10-31,Deposit,140737.31,Savings,Branch,Pending
16909,1838,2020-08-13,Transfer,133508.35,FD,Mobile,Success
18984,1654,2024-06-10,Deposit,9093.66,Credit Card,Netbanking,Success
20552,1756,2024-11-17,Deposit,168881.59,FD,Mobile,Pending
25267,1602,2021-07-13,Deposit,55387.94,FD,Mobile,Success
15356,1576,2023-06-15,Deposit,94904.59,Loan,Branch,Success
26047,1750,2022-12-29,Transfer,127788.06,Loan,Mobile,Failed
24280,1472,2023-01-20,Payment,77805.3,Savings,Netbanking,Success
18153,1250,2023-05-02,Transfer,174176.23,Credit Card,ATM,Success
18392,1844,2022-04-17,Payment,114373.79,Loan,ATM,Success
11933,1181,2022-04-11,Payment,121022.66,FD,Mobile,Success
25095,1372,2021-11-12,Withdrawal,4482.57,Savings,ATM,Success
20969,1307,2020-03-03,Transfer,197546.17,Savings,Netbanking,Failed
20260,1965,2021-08-11,Withdrawal,40703.19,Credit Card,Mobile,Success
14439,1892,2023-07-11,Transfer,154659.97,FD,Branch,Success
21786,1747,2021-05-10,Deposit,68735.5,Loan,ATM,Success
12657,1993,2023-06-13,Transfer,18247.84,FD,Branch,Success
16069,1885,2020-11-08,Withdrawal,65538.67,FD,Branch,Pending
27470,1659,2024-10-14,Transfer,20894.1,Loan,ATM,Success
15076,1387,2021-01-03,Payment,45702.84,FD,ATM,Success
14353,1271,2024-06-11,Payment,13371.77,FD,ATM,Failed
28671,1608,2021-05-07,Payment,128972.76,Credit Card,Branch,Failed
14027,1860,2024-10-31,Withdrawal,117996.17,FD,Netbanking,Success
22689,1923,2024-11-28,Withdrawal,11244.11,Credit Card,ATM,Success
17732,1431,2023-04-06,Deposit,150997.69,Savings,Mobile,Success
25248,1144,2024-04-27,Transfer,184751.03,FD,ATM,Success
13875,1601,2023-05-06,Payment,35119.12,FD,ATM,Success
26508,1252,2023-09-09,Withdrawal,137879.68,Unavailable,Mobile,Success
13337,1736,2023-03-31,Payment,116822.65,Loan,Netbanking,Failed
9323,1697,2022-07-22,Withdrawal,100003.43,Loan,Mobile,Failed
22417,1943,2020-08-03,Deposit,22251.9,Savings,Netbanking,Success
17840,1066,2022-03-05,Withdrawal,36917.76,Credit Card,Branch,Success
11513,1781,2020-05-22,Payment,152719.7,Savings,Netbanking,Success
11572,1958,2020-01-06,Payment,123329.56,FD,Mobile,Failed
27215,1239,2023-08-04,Deposit,152906.45,Loan,Branch,Failed
16509,1486,2020-01-04,Payment,10760.63,Loan,Netbanking,Success
17305,1454,2020-10-08,Deposit,147558.4,Credit Card,Netbanking,Success
25595,1969,2023-03-18,Payment,32695.85,Savings,Mobile,Failed
13519,1384,2020-01-13,Transfer,113485.3,FD,ATM,Success
23066,1006,2020-10-25,Transfer,1288.01,Credit Card,Netbanking,Failed
15581,1141,2023-05-24,Payment,158834.33,Loan,ATM,Pending
21103,1735,2020-01-09,Withdrawal,116127.41,FD,ATM,Pending
12670,1285,2023-06-15,Deposit,100003.43,Savings,Branch,Success
18203,1150,2020-11-06,Payment,167001.28,FD,Netbanking,Success
13046,1312,2023-01-12,Payment,173113.76,Loan,Netbanking,Success
18903,1951,2020-08-20,Payment,77160.71,Loan,Mobile,Success
18619,1752,2021-12-15,Withdrawal,112587.13,Loan,Mobile,Success
20953,1140,2023-08-09,Withdrawal,63005.5,Loan,Mobile,Success
13742,1775,2024-11-16,Payment,95205.67,Loan,Netbanking,Success
17816,1669,2021-07-10,Transfer,33207.64,Credit Card,ATM,Success
12523,1164,2024-02-05,Deposit,16912.68,FD,Branch,Success
17411,1895,2022-04-22,Payment,149854.66,Loan,ATM,Success
22168,1967,2022-02-09,Payment,155907.28,Credit Card,Mobile,Success
14923,1431,2024-08-21,Deposit,172667.99,Loan,ATM,Success
17569,1947,2020-06-11,Payment,114030.56,FD,Netbanking,Success
10291,1184,2020-11-08,Withdrawal,49506.49,Savings,Branch,Success
26800,1099,2021-01-10,Transfer,80648.92,Unavailable,ATM,Success
12249,1818,2022-12-08,Transfer,159325.49,FD,Mobile,Success
10338,1292,2020-10-10,Deposit,92736.15,Credit Card,ATM,Pending
9739,1037,2024-09-27,Deposit,151146.8,Savings,Netbanking,Success
23016,1113,2022-04-21,Withdrawal,144143.32,Savings,Mobile,Pending
17733,1485,2023-02-13,Payment,32011.38,FD,Mobile,Success
19313,1327,2021-11-05,Withdrawal,142916.58,Credit Card,ATM,Success
23226,1418,2023-07-05,Withdrawal,60198.4,Loan,ATM,Success
18967,1733,2023-07-07,Payment,46044.28,Loan,Netbanking,Success
21140,1654,2023-11-16,Payment,50913.17,Credit Card,Mobile,Success
11815,1033,2021-10-16,Withdrawal,173877.66,Loan,ATM,Pending
28825,1005,2022-05-31,Deposit,112200.71,Credit Card,ATM,Pending
20652,1470,2024-05-27,Payment,116937.36,Loan,Netbanking,Success
28528,1415,2021-06-14,Deposit,151645.57,Loan,Mobile,Failed
22769,1640,2021-02-09,Withdrawal,45989.98,Credit Card,Netbanking,Success
11381,1186,2022-02-24,Deposit,32818.53,Loan,Branch,Success
10535,1120,2024-09-03,Payment,101027.92,Savings,Mobile,Pending
23895,1657,2024-05-17,Withdrawal,131328.4,Loan,ATM,Success
26734,1132,2024-05-14,Deposit,196704.02,Savings,Netbanking,Success
26577,1065,2021-06-18,Withdrawal,31054.22,Credit Card,Branch,Failed
24581,1944,2021-02-20,Withdrawal,97668.7,FD,Netbanking,Failed
20936,1879,2021-04-16,Payment,74354.77,FD,ATM,Failed
16552,1716,2020-09-02,Withdrawal,125481.78,FD,Netbanking,Success
28749,1881,2023-03-06,Transfer,197377.41,Savings,Netbanking,Failed
17853,1668,2020-12-27,Transfer,49866.56,Savings,Mobile,Success
18561,1665,2024-12-22,Withdrawal,83559.66,Loan,Mobile,Success
28852,2000,2024-10-21,Transfer,74671.64,Credit Card,ATM,Success
11677,1222,2020-09-18,Withdrawal,149187.66,Credit Card,Netbanking,Success
19500,1050,2024-04-29,Payment,81924.34,Loan,Netbanking,Success
17158,1290,2024-06-20,Payment,163381.22,FD,Mobile,Success
23113,1867,2020-05-16,Transfer,7492.78,Loan,Mobile,Pending
11278,1517,2020-11-19,Deposit,45188.29,FD,Branch,Success
25006,1962,2020-11-12,Transfer,122034.48,Savings,Netbanking,Success
9120,1101,2020-10-27,Payment,165773.31,Savings,Mobile,Success
27149,1645,2024-04-28,Withdrawal,172486.47,Savings,ATM,Success
11484,1276,2021-12-08,Payment,156290.51,Loan,Netbanking,Failed
10705,1220,2022-08-14,Deposit,103356.46,Loan,Mobile,Success
24566,1675,2021-02-17,Payment,182123.5,FD,Netbanking,Success
10806,1925,2023-11-12,Deposit,87464.38,FD,Netbanking,Success
20605,1156,2023-02-11,Payment,124074.45,Savings,Branch,Failed
18729,1547,2022-01-23,Deposit,55480.08,Credit Card,Branch,Success
15391,1533,2020-01-12,Deposit,142908.75,FD,Netbanking,Pending
13157,1099,2022-03-11,Transfer,99326.13,FD,Mobile,Success
25556,1001,2023-12-09,Transfer,116866.31,FD,Netbanking,Failed
14199,1886,2020-10-03,Withdrawal,158696.13,Savings,Netbanking,Success
9128,1313,2022-02-05,Transfer,59149.27,Savings,ATM,Success
16754,1543,2022-02-19,Withdrawal,129002.12,Credit Card,Netbanking,Failed
13292,1205,2021-01-16,Deposit,92502.94,Credit Card,Netbanking,Success
11266,1657,2023-07-05,Transfer,63503.35,Loan,ATM,Success
25400,1975,2021-09-19,Withdrawal,51564.6,Credit Card,Branch,Failed
12777,1993,2023-03-24,Payment,79487.18,Loan,Mobile,Pending
18531,1879,2022-04-03,Withdrawal,152433.44,Savings,Mobile,Success
9448,1848,2021-04-04,Deposit,149525.57,Savings,ATM,Success
11931,1975,2020-11-17,Withdrawal,165929.45,Savings,Branch,Success
16921,1617,2024-01-01,Transfer,107000.75,Loan,Mobile,Success
10693,1425,2022-05-21,Deposit,62464.96,Credit Card,Mobile,Success
23893,1628,2020-09-16,Deposit,96366.96,FD,Netbanking,Success
9504,1470,2022-05-27,Transfer,35790.58,Loan,Netbanking,Success
13338,1393,2024-12-21,Deposit,155798.06,Loan,Mobile,Pending
25530,1867,2020-04-26,Payment,71818.81,Credit Card,Netbanking,Failed
26423,1978,2022-07-04,Withdrawal,20242.07,Savings,Mobile,Failed
25007,1047,2023-05-05,Payment,32499.23,Credit Card,Mobile,Success
14503,1455,2021-08-11,Deposit,133026.38,Savings,Branch,Success
19420,1619,2020-01-21,Deposit,66141.46,Loan,ATM,Failed
9829,1983,2023-10-04,Payment,84780.18,Savings,Branch,Success
