loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,disbursed_date,missed_payments,loan_status
7375,1071,Personal,1000000,11.6,60,22758.19,2022-04-08,1,Active
7359,1252,Personal,750000,10.74,180,8402.43,2020-12-30,2,Active
7466,1635,Education,200000,10.02,180,2151.66,2023-08-14,0,Active
7154,1122,Home,200000,15.36,60,4795.86,2022-11-18,0,Closed
7003,1660,Education,300000,13.82,240,3691.41,2023-03-22,0,Active
7336,1175,Personal,100000,13.48,12,8954.26,2023-06-09,0,Closed
7209,1809,Auto,500000,9.45,60,10488.72,2024-12-22,0,Active
7074,1265,Education,200000,11.6,240,1784.05,2024-08-23,3,Active
7495,1421,Education,100000,14.69,36,3451.37,2024-06-26,0,Active
7452,1094,Auto,50000,15.54,180,718.38,2024-01-08,1,Active
7205,1229,Education,100000,8.14,36,3140.1,2024-01-15,0,Active
7069,1700,Education,50000,11.6,60,1164.97,2022-05-11,1,Active
7091,1297,Personal,200000,14.69,240,2587.88,2023-04-01,2,Closed
7300,1821,Personal,750000,7.03,36,23168.11,2020-08-19,0,Closed
7034,1222,Home,1000000,9.88,36,32210.88,2022-09-03,2,Closed
7071,1253,Home,200000,11.72,36,6616.15,2024-04-27,0,Active
7469,1352,Personal,750000,12.74,36,25176.64,2024-11-24,0,Closed
7001,1007,Home,50000,10.89,240,512.36,2023-01-14,0,Active
7012,1024,Personal,750000,10.76,180,8411.79,2021-04-07,0,Closed
7282,1885,Education,750000,7.24,180,6842.24,2023-05-24,0,Active
7023,1663,Home,50000,13.63,180,653.49,2020-02-12,0,Active
7102,1765,Auto,50000,8.12,12,4352.2,2020-03-12,0,Active
7269,1544,Personal,200000,7.49,240,1609.96,2024-07-14,0,Active
7484,1096,Education,200000,10.77,36,6525.98,2022-08-08,0,Active
7442,1960,Home,100000,14.56,180,1369.57,2022-04-23,0,Active
7291,1814,Education,500000,7.29,180,4575.6,2024-07-09,0,Active
7085,1793,Home,300000,11.6,120,4175.07,2021-12-20,0,Closed
7246,1950,Personal,750000,12.26,12,66727.85,2020-04-11,2,Active
7064,1711,Education,750000,15.49,180,10749.74,2021-11-17,0,Active
7056,1181,Personal,200000,14.41,24,9641.36,2023-08-18,1,Active
7230,1068,Auto,1000000,12.58,120,14684.37,2024-06-17,0,Active
7019,1214,Auto,50000,10.11,60,1065.06,2023-03-03,3,Active
7411,1242,Auto,50000,7.43,24,2248.39,2024-12-28,0,Active
7210,1897,Home,750000,15.21,240,9992.49,2021-11-03,1,Closed
7395,1775,Unavailable,300000,11.6,60,6473.46,2022-10-11,0,Active
7083,1904,Education,750000,10.96,60,16291.86,,0,Active
7040,1784,Personal,200000,14.25,12,17980.96,2020-05-09,2,Active
7456,1093,Home,200000,11.07,240,2073.91,2023-01-22,0,Active
7047,1498,Auto,750000,12.11,24,35343.64,2022-05-23,0,Closed
7413,1343,Home,750000,11.52,36,24739.14,2022-11-21,1,Active
7315,1108,Personal,300000,8.5,240,2603.47,,1,Active
7355,1389,Personal,300000,9.32,60,6274.2,2023-08-01,0,Active
7078,1592,Education,750000,13.91,24,35977.78,2021-11-15,0,Active
7398,1848,Personal,300000,13.2,60,6856.68,2020-03-28,2,Active
7105,1346,Personal,300000,11.6,24,13764.69,2023-07-11,0,Active
7204,1486,Auto,100000,13.35,180,1288.36,2020-05-27,0,Active
7381,1517,Personal,200000,12.01,24,9415.63,2022-02-20,0,Active
7488,1048,Auto,500000,11.84,120,7127.38,2022-01-17,0,Closed
7070,1476,Auto,200000,7.05,24,8959.05,2020-09-05,0,Active
7408,1526,Home,200000,11.71,36,6615.19,2021-05-29,0,Active
7256,1474,Education,300000,15.35,12,27127.06,2024-05-03,4,Defaulted
7392,1891,Home,1000000,8.29,180,9724.69,2020-07-24,1,Active
7312,1264,Home,300000,13.26,240,3570.44,2024-05-03,0,Active
7235,1579,Personal,1000000,9.2,24,45776.56,2020-12-01,0,Active
7473,1480,Auto,1000000,9.07,60,20792.34,2021-11-01,2,Active
7324,1631,Education,300000,8.86,24,13686.16,2023-02-11,1,Active
7094,1362,Auto,50000,13.3,60,1145.35,2024-12-19,1,Active
7138,1917,Home,750000,10.96,60,16291.86,2022-08-20,0,Active
7177,1193,Home,1000000,13.36,180,12890.22,2024-10-05,0,Active
7337,1935,Education,300000,15.51,240,4063.88,2023-01-30,0,Active
7132,1279,Education,500000,11.87,24,23506.39,2023-12-10,0,Active
7365,1762,Personal,1000000,13.58,120,15275.11,2022-04-20,0,Active
7133,1705,Auto,500000,12.61,36,16753.21,2022-03-24,0,Closed
7332,1979,Personal,50000,8.0,180,477.83,2024-02-20,0,Active
7412,1092,Education,100000,12.38,120,1456.76,2022-07-27,0,Closed
7350,1883,Personal,300000,8.26,12,26132.61,2021-03-13,0,Active
7087,1847,Home,300000,15.95,24,14681.77,2023-09-03,5,Defaulted
7076,1172,Home,200000,12.51,60,4500.6,2022-07-17,1,Active
7443,1985,Auto,300000,13.26,12,26831.79,,0,Active
7016,1896,Home,750000,14.06,12,67361.51,2020-03-13,1,Active
7326,1331,Auto,50000,13.51,240,604.05,2022-06-11,0,Active
7389,1254,Auto,500000,11.08,120,6910.16,2020-04-10,1,Active
7020,1668,Auto,200000,10.31,60,4279.98,2020-05-02,0,Active
7325,1509,Auto,200000,14.39,12,17994.14,,0,Active
7335,1816,Personal,50000,10.17,60,1066.54,2024-02-18,0,Active
7057,1650,Auto,500000,14.56,240,6421.98,2021-07-05,1,Active
7339,1506,Home,50000,9.02,24,2284.7,2020-05-15,1,Active
7409,1051,Home,750000,11.21,60,16385.47,2023-06-03,0,Active
7334,1525,Education,750000,13.67,180,9822.33,2023-07-09,1,Active
7182,1382,Auto,500000,15.12,24,24271.84,,0,Closed
7228,1171,Home,500000,13.94,120,7745.29,2024-08-22,0,Active
7427,1926,Home,1000000,8.78,180,10012.21,2024-09-08,3,Active
7181,1301,Auto,300000,15.28,24,14585.94,2024-08-14,0,Active
7026,1266,Auto,500000,7.74,24,22554.4,2023-11-17,0,Active
7330,1030,Education,50000,8.03,240,419.15,2023-09-13,1,Active
7239,1725,Auto,50000,15.13,60,1192.91,2023-07-04,2,Closed
7245,1468,Personal,200000,8.48,120,2477.57,2022-09-10,1,Active
7251,1232,Auto,1000000,15.48,24,48715.01,2020-08-10,1,Closed
7418,1720,Personal,100000,10.18,24,4622.8,2021-11-03,5,Defaulted
7118,1845,Education,500000,12.65,24,23688.8,2022-05-19,0,Active
7043,1539,Home,750000,7.5,12,65068.06,2022-10-28,0,Active
7322,1810,Home,500000,14.09,12,44914.73,2024-10-24,0,Closed
7347,1799,Personal,50000,13.23,36,1690.24,2023-04-03,0,Active
7183,1693,Education,750000,12.72,120,11074.78,2023-12-18,0,Active
7156,1494,Personal,50000,11.6,12,4331.87,2023-10-07,3,Closed
7281,1710,Personal,300000,15.08,240,3968.11,2024-10-13,0,Closed
7127,1364,Auto,1000000,15.49,12,90489.69,2024-08-01,0,Closed
7449,1879,Auto,300000,11.51,240,3201.36,2022-12-04,1,Active
7032,1713,Home,500000,8.13,240,4222.74,2021-10-24,1,Active
7114,1549,Education,500000,13.31,60,11456.04,2024-04-11,0,Active
7149,1612,Personal,1000000,12.83,60,22666.14,2024-07-17,0,Closed
7430,1830,Auto,200000,11.12,12,17687.53,2021-03-22,0,Active
7401,1933,Education,200000,9.78,60,4227.79,2020-03-19,3,Closed
7058,1636,Auto,200000,12.92,24,9500.85,2023-11-27,0,Active
7195,1430,Unavailable,50000,11.6,240,480.86,2021-11-19,0,Active
7025,1424,Auto,50000,14.0,120,776.33,2021-04-09,0,Active
7018,1240,Education,300000,7.33,180,2752.13,2024-03-23,1,Active
7298,1120,Personal,300000,9.5,120,3881.93,2021-07-23,2,Active
7067,1857,Unavailable,500000,12.2,12,44471.19,2021-05-17,0,Active
7212,1613,Auto,300000,7.22,240,2365.68,2024-08-12,0,Active
7404,1438,Personal,50000,11.53,60,1100.38,2023-12-06,0,Active
7095,1751,Personal,50000,11.38,240,529.09,2022-01-15,1,Closed
7155,1728,Education,200000,10.84,12,17661.41,2023-05-12,1,Active
7441,1452,Education,300000,10.39,12,26429.21,2023-04-18,1,Closed
7024,1489,Personal,200000,7.12,24,8965.4,2021-12-08,2,Active
7226,1065,Auto,50000,13.97,120,775.43,2022-01-19,4,Defaulted
7433,1774,Personal,50000,12.23,180,607.5,2020-07-08,0,Active
7447,1052,Auto,1000000,14.83,36,34582.14,2022-04-19,2,Active
7006,1533,Home,100000,13.85,36,3410.48,2023-06-18,0,Active
7117,1447,Education,750000,9.5,180,7831.69,2023-02-26,3,Active
7046,1727,Education,1000000,9.16,12,87525.69,2021-10-14,1,Closed
7017,1943,Education,100000,11.78,120,1422.02,2023-01-17,1,Closed
7494,1305,Home,50000,14.01,240,622.12,2022-04-26,1,Active
7362,1989,Personal,200000,11.6,36,6347.85,2022-08-04,1,Active
7004,1128,Home,500000,13.15,120,7509.84,2021-03-03,0,Active
7295,1806,Auto,300000,8.2,12,26124.28,2023-07-27,0,Active
7186,1789,Auto,100000,12.25,240,1118.56,2024-05-27,0,Active
7061,1405,Personal,100000,7.54,240,808.04,2020-04-23,0,Active
7111,1493,Education,500000,14.95,24,24231.45,2020-08-10,0,Active
7321,1182,Home,100000,15.39,60,2399.51,2021-09-20,0,Closed
7266,1697,Auto,750000,9.36,36,23975.66,2022-10-26,1,Active
7030,1479,Home,100000,13.34,24,4770.17,2021-03-20,0,Active
7263,1167,Auto,200000,9.93,60,4242.52,2024-11-10,0,Active
7477,1949,Education,300000,7.46,12,26021.69,2021-01-16,1,Active
7027,1109,Education,100000,10.79,36,3263.94,2024-01-24,2,Active
7008,1946,Auto,500000,7.8,12,43447.99,2023-04-22,0,Active
7458,1088,Auto,1000000,13.17,180,12764.49,2024-03-02,0,Active
7109,1872,Education,1000000,13.7,36,34032.1,2021-04-09,0,Active
7038,1423,Auto,50000,7.57,12,4339.49,2023-10-28,0,Active
7158,1317,Personal,100000,8.08,60,2031.47,2022-02-17,0,Active
7471,1559,Education,200000,15.63,12,18111.17,2023-06-15,0,Active
7119,1554,Home,500000,11.03,180,5692.41,2023-09-22,0,Active
7115,1462,Auto,500000,12.81,240,5790.33,2021-05-19,1,Active
7176,1495,Personal,1000000,13.64,60,23082.04,2022-08-12,3,Active
7193,1276,Home,200000,10.14,60,4263.2,2020-03-31,0,Active
7273,1519,Home,500000,15.4,24,24338.45,2024-01-18,1,Active
7145,1403,Education,1000000,7.03,60,19815.36,2024-10-07,2,Active
7489,1399,Home,300000,14.95,12,27070.42,2024-01-02,0,Active
7383,1077,Education,1000000,13.52,240,12088.14,2021-04-27,0,Active
7356,1372,Education,500000,9.84,60,10584.2,2021-12-22,0,Active
7278,1256,Home,500000,8.4,240,4307.52,2021-12-02,0,Active
7221,1013,Auto,50000,8.35,120,615.92,2022-04-16,0,Closed
7450,1471,Unavailable,300000,7.88,180,2846.21,2021-04-16,3,Active
7142,1677,Home,750000,15.63,24,36589.88,2024-12-18,0,Active
7369,1245,Personal,750000,9.14,60,15619.78,2021-11-07,0,Active
7068,1186,Auto,50000,13.4,60,1147.92,2023-01-18,1,Active
7361,1105,Home,300000,10.24,180,3268.01,2022-09-10,0,Closed
7169,1944,Education,300000,9.45,240,2786.61,2022-04-18,0,Active
7498,1503,Auto,100000,15.62,240,1362.83,2020-06-24,0,Active
7379,1148,Auto,100000,10.68,12,8823.25,2022-06-08,0,Active
7366,1945,Education,1000000,15.15,36,34738.83,2023-06-14,0,Active
7194,1502,Auto,300000,12.85,24,14241.42,2022-08-24,0,Active
7250,1867,Home,100000,8.81,120,1256.5,2021-12-30,1,Active
7110,1394,Auto,500000,7.03,120,5813.16,2021-02-23,0,Active
7434,1347,Auto,100000,8.0,12,8698.84,2021-08-18,0,Active
7146,1919,Home,500000,8.93,36,15883.58,2023-03-14,0,Active
7093,1332,Education,50000,12.72,24,2370.52,2022-03-27,0,Active
7153,1210,Personal,300000,10.25,12,26409.66,2021-06-30,1,Closed
7223,1571,Education,50000,9.2,12,4377.21,2023-11-30,0,Closed
7410,1607,Home,100000,7.33,36,3102.82,2024-06-14,1,Active
7084,1906,Auto,300000,7.29,60,5981.49,2021-06-05,0,Active
7249,1729,Home,50000,12.23,120,724.02,2022-05-15,0,Active
7166,1136,Personal,50000,10.36,180,548.37,2021-05-19,0,Active
7164,1787,Auto,750000,12.34,12,66755.94,2023-06-01,2,Active
7200,1473,Auto,300000,10.78,12,26483.72,2022-11-26,0,Active
7232,1277,Home,750000,12.65,240,8600.49,2023-12-18,0,Active
7075,1466,Home,1000000,9.94,36,32239.02,2020-07-27,1,Closed
7311,1137,Home,1000000,10.93,120,13735.41,2020-02-10,0,Active
7455,1927,Personal,300000,13.68,12,26890.99,2022-08-17,0,Active
7254,1420,Personal,500000,14.6,60,11790.24,2023-05-17,1,Closed
7120,1528,Education,100000,7.6,240,811.72,2022-05-06,0,Active
7285,1561,Education,500000,10.65,60,10784.14,2022-05-28,0,Active
7302,1628,Auto,500000,8.34,240,4288.62,2023-09-04,0,Active
7482,1001,Personal,200000,11.93,240,2192.42,2022-03-17,0,Active
7357,1391,Home,500000,15.36,24,24328.93,2024-07-11,0,Active
7403,1513,Home,100000,15.1,180,1406.44,2021-12-23,0,Closed
7229,1408,Education,100000,7.85,12,8691.91,2022-10-10,0,Closed
7262,1104,Education,750000,15.75,60,18139.07,2021-12-23,0,Active
7238,1832,Unavailable,750000,12.26,60,16782.04,2024-02-27,1,Active
7438,1482,Auto,1000000,15.27,60,23931.89,2021-02-21,4,Defaulted
7475,1900,Education,1000000,8.21,60,20377.05,2021-05-30,0,Active
7037,1955,Personal,500000,10.25,24,23130.2,2023-03-22,1,Active
7197,1233,Education,500000,13.81,36,17042.71,2020-01-24,0,Active
7140,1425,Personal,200000,11.37,180,2319.88,2021-02-16,1,Active
7368,1292,Auto,300000,12.28,12,26693.95,2024-01-28,1,Active
7248,1942,Home,750000,9.65,60,15806.43,2020-11-26,2,Active
7288,1083,Home,100000,15.38,24,4866.74,2020-11-05,0,Closed
7378,1862,Auto,500000,11.6,240,5561.31,2022-12-09,0,Active
7060,1657,Personal,50000,12.11,12,4445.01,2020-05-18,0,Active
7112,1039,Education,750000,12.95,120,11176.2,2020-10-10,0,Active
7090,1538,Home,1000000,15.63,60,24121.9,2020-02-14,0,Active
7267,1932,Home,200000,8.5,12,17443.96,2021-08-25,0,Active
7007,1558,Education,100000,13.84,240,1231.92,2021-10-01,0,Active
7457,1647,Personal,500000,13.6,12,44799.51,2023-04-29,0,Active
7348,1280,Personal,750000,8.56,120,9323.01,2023-03-13,0,Active
7341,1426,Personal,300000,8.34,12,26143.71,2024-02-07,1,Active
7159,1169,Auto,300000,7.22,180,2733.52,2021-12-21,0,Active
7151,1651,Personal,500000,15.6,24,24386.1,2024-03-05,0,Active
7178,1133,Personal,200000,11.65,60,4413.6,2020-06-04,0,Active
7397,1031,Home,50000,15.24,60,1195.8,2023-12-04,1,Active
7185,1033,Home,750000,10.06,120,9936.24,2021-01-22,1,Closed
7318,1226,Auto,100000,15.26,180,1417.44,2022-10-13,1,Active
7011,1356,Personal,100000,11.54,36,3299.5,2020-10-05,0,Active
7384,1054,Personal,500000,9.53,180,5230.18,2024-01-19,0,Active
7104,1763,Personal,750000,15.5,24,36543.41,2022-12-09,1,Active
7082,1442,Auto,500000,13.24,60,11438.06,2022-09-20,0,Active
7039,1741,Auto,1000000,14.46,240,12770.68,2021-09-12,1,Active
7317,1380,Education,750000,15.17,36,26061.48,2022-11-30,0,Active
7168,1620,Auto,200000,12.07,120,2877.52,2023-08-20,1,Active
7474,1320,Home,750000,14.61,36,25855.99,2021-10-27,1,Active
7299,1759,Education,100000,13.93,180,1327.04,,0,Active
7405,1358,Personal,200000,8.45,120,2474.37,2021-05-12,0,Active
7199,1602,Auto,1000000,10.51,60,21498.85,2023-07-09,1,Active
7377,1282,Auto,1000000,12.86,12,89251.61,2021-03-06,1,Active
7147,1057,Home,200000,15.71,240,2739.09,2022-07-01,0,Active
7396,1111,Home,100000,8.66,36,3164.17,2024-05-29,0,Active
7148,1827,Personal,200000,11.4,240,2119.1,2022-10-07,0,Active
7483,1393,Education,50000,7.22,36,1548.89,2024-10-22,1,Closed
7290,1431,Auto,200000,7.22,60,3981.03,2020-05-08,0,Active
7124,1881,Unavailable,200000,15.63,60,4824.38,2022-08-13,0,Closed
7372,1514,Education,1000000,11.6,60,22310.2,2024-10-02,0,Closed
7097,1743,Personal,50000,7.06,180,451.09,2022-02-22,0,Active
7144,1595,Education,1000000,8.91,240,8939.46,2020-08-13,0,Active
7240,1907,Education,500000,12.23,120,7240.18,2023-08-25,0,Active
7276,1285,Education,50000,11.07,12,4420.72,2023-05-04,0,Closed
7098,1278,Personal,500000,11.81,240,5439.34,2023-05-01,0,Active
7353,1268,Education,1000000,12.44,60,22467.43,2024-12-08,1,Active
7123,1634,Auto,1000000,13.84,24,47937.33,2021-07-26,5,Defaulted
7184,1948,Home,100000,13.42,240,1201.62,2021-07-17,0,Active
7203,1035,Personal,300000,10.44,240,2983.06,2024-02-12,1,Active
7247,1257,Home,100000,7.89,24,4517.71,2023-08-11,1,Active
7308,1605,Personal,1000000,15.34,240,13419.8,2022-03-18,0,Active
7423,1395,Education,1000000,7.54,24,45017.78,2022-01-10,0,Active
7354,1869,Home,500000,9.09,240,4527.61,2023-10-30,0,Closed
7303,1283,Education,50000,7.0,36,1543.85,2024-07-10,1,Active
7399,1542,Home,100000,13.14,36,3376.14,2022-06-01,0,Active
7287,1929,Education,300000,15.48,36,10470.25,2022-06-30,0,Active
7126,1752,Auto,100000,14.57,60,2356.48,2020-12-10,1,Active
7305,1567,Education,750000,12.4,12,66777.02,2022-08-12,0,Active
7224,1484,Personal,750000,13.32,24,35769.2,2022-08-18,0,Active
7422,1258,Personal,300000,15.08,24,14557.4,,2,Active
7220,1701,Personal,300000,13.87,36,10234.36,2021-08-13,0,Active
7130,1397,Home,300000,8.76,180,3000.12,2022-04-23,0,Active
7424,1130,Personal,300000,15.78,240,4124.33,2023-03-16,0,Active
7292,1114,Home,50000,7.31,24,2245.66,2022-04-09,0,Active
7492,1532,Personal,50000,12.2,12,4447.12,2022-05-31,1,Active
7394,1075,Home,200000,12.27,36,6668.68,2024-12-20,1,Closed
7479,1435,Home,50000,13.21,240,593.28,2020-12-02,0,Active
7358,1345,Education,200000,10.26,36,6477.88,2021-08-03,0,Active
7297,1324,Auto,50000,10.55,60,1075.93,2024-01-13,1,Active
7370,1325,Auto,50000,13.68,120,766.74,2022-04-16,0,Active
7343,1012,Home,300000,7.69,60,6038.51,2024-01-09,0,Closed
7113,1215,Auto,100000,9.82,60,2115.86,2023-03-22,1,Active
7180,1090,Auto,100000,8.28,24,4535.51,2023-04-09,0,Closed
7419,1460,Auto,100000,7.54,24,4501.78,2024-10-10,0,Active
7342,1070,Personal,50000,11.8,120,711.59,2022-05-28,0,Active
7333,1930,Personal,300000,7.45,24,13493.06,2020-12-25,0,Active
7486,1337,Personal,100000,11.6,24,4688.69,2020-01-16,1,Active
7363,1952,Home,500000,15.13,36,17364.51,2023-07-24,0,Active
7234,1433,Auto,500000,8.81,12,43681.7,2023-03-11,1,Active
7472,1019,Personal,1000000,8.57,36,31599.98,2023-10-06,0,Active
7165,1097,Personal,750000,9.64,240,7059.69,2020-11-18,0,Active
7137,1098,Education,200000,10.38,36,6489.18,2024-06-07,1,Closed
7198,1016,Auto,200000,13.27,36,6764.83,2023-09-21,1,Active
7259,1434,Auto,200000,15.59,24,9753.49,2020-04-15,0,Active
7233,1780,Auto,500000,12.53,12,44548.46,2020-03-20,3,Closed
7116,1004,Auto,750000,14.74,12,67601.75,2022-02-14,0,Closed
7121,1843,Home,100000,9.3,120,1283.05,2023-05-13,0,Active
7352,1604,Home,50000,14.32,60,1171.72,2021-10-17,1,Active
7225,1311,Personal,100000,11.29,24,4674.26,2020-10-27,0,Closed
7406,1037,Education,500000,9.66,240,4713.02,2021-03-26,2,Active
7437,1381,Auto,200000,15.93,12,18139.55,2023-10-27,4,Defaulted
7128,1643,Home,1000000,10.68,36,32587.38,2023-12-10,1,Active
7286,1287,Personal,300000,10.42,24,13901.71,2020-10-03,0,Active
7415,1606,Personal,300000,15.03,180,4204.93,2023-06-14,0,Active
7108,1676,Personal,750000,7.77,24,33841.85,2022-11-11,0,Active
7374,1457,Auto,500000,11.2,120,6944.23,2022-10-22,0,Active
7371,1338,Education,1000000,10.36,240,9889.93,2020-12-22,0,Closed
7134,1302,Auto,750000,11.71,12,66534.89,2023-06-26,0,Closed
7400,1138,Education,300000,12.06,240,3315.82,2022-09-16,0,Active
7045,1333,Auto,1000000,8.99,36,31795.08,2022-11-19,0,Active
7465,1961,Personal,300000,11.33,240,3164.22,2023-08-04,1,Active
7066,1591,Auto,500000,14.06,36,17103.39,2024-06-25,0,Active
7284,1467,Education,200000,11.13,36,6560.06,2020-09-18,1,Active
7086,1820,Home,500000,12.6,60,11274.42,2022-01-31,0,Active
7243,1373,Home,300000,10.5,240,2995.14,2023-02-01,0,Active
7187,1123,Personal,50000,12.52,36,1673.16,2022-08-25,0,Active
7387,1824,Education,300000,9.13,24,13723.32,2021-02-28,0,Closed
7160,1908,Auto,500000,10.25,240,4908.22,2023-02-13,0,Active
7013,1507,Education,200000,15.99,60,4862.55,2021-01-25,1,Active
7036,1428,Personal,500000,10.5,12,44074.3,2021-10-04,0,Active
7029,1749,Auto,500000,13.02,12,44663.33,2022-08-31,0,Active
7171,1987,Education,500000,14.88,180,6956.89,2023-01-17,0,Active
7143,1807,Education,500000,8.81,24,22798.81,2022-11-18,0,Active
7417,1707,Personal,1000000,11.41,120,14008.1,2024-05-18,1,Active
7425,1963,Personal,200000,15.85,36,7016.6,2022-01-08,2,Active
7222,1803,Education,1000000,14.73,36,34533.25,2023-02-28,0,Active
7096,1813,Personal,1000000,8.53,240,8697.23,2024-07-02,2,Active
7052,1166,Auto,300000,14.6,12,27020.9,2023-06-24,0,Active
7241,1717,Personal,1000000,11.21,60,21847.3,2023-03-18,0,Active
7376,1410,Auto,1000000,8.43,24,45423.66,2020-08-24,1,Active
7382,1151,Education,1000000,12.67,36,33535.22,2022-11-24,0,Active
7179,1497,Home,200000,11.26,60,4374.46,2020-12-06,0,Active
7042,1444,Personal,1000000,9.17,180,10244.04,2024-04-30,0,Active
7440,1156,Personal,1000000,9.72,24,46015.8,2024-03-21,1,Active
7391,1861,Personal,500000,15.6,120,8251.45,2024-07-24,0,Active
7207,1805,Education,200000,11.61,12,17733.29,2021-01-06,0,Active
7283,1204,Personal,500000,11.21,36,16419.13,2022-10-13,0,Closed
7255,1401,Home,50000,10.03,180,538.22,2023-08-30,0,Active
7416,1124,Education,100000,12.8,120,1481.33,2024-02-19,0,Active
7005,1491,Personal,200000,14.84,24,9682.13,2023-03-13,0,Active
7257,1724,Auto,500000,13.07,60,11394.46,2020-05-14,0,Active
7453,1576,Education,300000,12.7,12,26752.98,2020-12-26,0,Active
7101,1152,Personal,100000,11.82,60,2215.36,2024-12-11,0,Closed
7227,1458,Auto,1000000,10.34,120,13404.07,2024-06-07,1,Active
7432,1887,Auto,200000,7.1,180,1808.86,2021-06-14,0,Active
7214,1834,Auto,500000,10.69,120,6800.05,2023-06-28,0,Active
7426,1982,Home,1000000,14.04,24,48031.78,2024-07-23,0,Active
7172,1392,Auto,200000,14.27,180,2699.86,2022-05-10,0,Active
7099,1196,Auto,100000,15.48,36,3490.08,2024-07-19,0,Active
7293,1247,Education,500000,15.3,24,24314.65,2023-05-20,0,Active
7216,1921,Education,750000,13.54,180,9757.35,2022-04-23,1,Active
7062,1674,Home,300000,14.01,36,10254.75,2022-11-13,0,Closed
7048,1988,Home,1000000,12.58,240,11417.85,2022-01-16,0,Active
7033,1609,Auto,750000,14.93,120,12067.99,2023-07-21,0,Active
7268,1272,Home,50000,14.07,180,668.22,2023-02-11,0,Active
7328,1225,Auto,500000,11.6,24,23443.45,2020-05-10,0,Active
7201,1878,Personal,100000,7.11,36,3092.74,2020-02-28,0,Active
7451,1781,Home,500000,11.6,120,7362.67,2020-12-12,0,Active
7028,1359,Auto,100000,12.56,24,4733.54,2023-07-17,0,Active
7393,1997,Home,750000,7.36,60,14978.62,2023-04-11,1,Active
7231,1800,Personal,50000,7.11,24,2241.12,2021-01-01,2,Active
7261,1736,Home,1000000,12.92,12,89279.75,2024-03-22,0,Active
7289,1106,Home,50000,10.53,180,553.63,2022-02-14,0,Active
7163,1464,Education,50000,9.16,12,4376.28,2022-07-29,2,Active
7429,1185,Personal,50000,12.88,24,2374.27,2022-07-17,0,Active
7139,1329,Education,1000000,15.1,240,13241.84,2022-06-25,0,Active
7063,1770,Auto,300000,12.91,120,4463.41,2024-08-12,2,Active
7136,1199,Education,1000000,15.65,180,14443.72,2024-09-26,1,Closed
7129,1890,Home,750000,11.14,36,24603.79,2022-03-06,0,Active
7481,1334,Personal,750000,11.16,60,16366.73,2020-06-21,0,Active
7009,1304,Education,500000,10.7,240,5059.25,2024-01-21,4,Defaulted
7327,1731,Auto,1000000,9.28,240,9178.12,2021-12-11,0,Closed
7468,1032,Home,100000,12.2,36,3330.99,2022-03-08,0,Active
7065,1698,Auto,300000,7.73,180,2820.39,2022-09-30,0,Active
7301,1547,Education,100000,14.43,36,3438.68,2024-09-09,0,Closed
